Time,Force,D1,D2,D3,D4,D5,D6,D7
0.0388,-230.3674164,0.153543069,-0.850393893,-1.094488443,-1.236220659,-1.043307246,-0.566929282,-0.145669416
0.039,-230.3674164,0.094488196,-0.893700838,-1.133858323,-1.275590658,-1.082677126,-0.59842521,-0.169291347
0.0392,-230.3674164,0.043307268,-0.933070778,-1.165354311,-1.307086467,-1.114173173,-0.629921137,-0.188976332
0.0394,-230.3674164,0.003937249,-0.964566705,-1.196850178,-1.338582394,-1.1456691,-0.657480118,-0.212598308
0.0396,-226.3955688,-0.035432712,-0.992125627,-1.220472094,-1.362204429,-1.173228022,-0.68503898,-0.232283293
0.0398,-226.3955688,-0.066929199,-1.011811138,-1.236220539,-1.38188988,-1.196850539,-0.712598503,-0.251968563
0.04,-222.4237061,-0.090551183,-1.035433173,-1.251968503,-1.397637844,-1.216535449,-0.736220479,-0.271653533
0.0402,-222.4237061,-0.11023616,-1.051181018,-1.26377958,-1.409448743,-1.236220419,-0.755905509,-0.291338533
0.0404,-222.4237061,-0.122047133,-1.062991976,-1.271653413,-1.42125976,-1.248031497,-0.775590479,-0.311023382
0.0406,-218.4518585,-0.129921257,-1.070866227,-1.275590478,-1.425196886,-1.259842515,-0.791338443,-0.326771467
0.0408,-218.4518585,-0.133858278,-1.074803293,-1.275590658,-1.429133773,-1.271653533,-0.807086647,-0.346456767
0.041,-218.4518585,-0.137795269,-1.07874012,-1.271653533,-1.433070898,-1.275590658,-0.818897665,-0.362204731
0.0412,-222.4237061,-0.137795269,-1.074803233,-1.271653533,-1.429133773,-1.279527545,-0.830708623,-0.377952724
0.0414,-222.4237061,-0.133858278,-1.070866227,-1.26377976,-1.429133773,-1.28346467,-0.838582695,-0.393700658
0.0416,-226.3955688,-0.129921257,-1.066929282,-1.259842515,-1.42126006,-1.28346467,-0.850393533,-0.409448652
0.0418,-226.3955688,-0.125984191,-1.066929102,-1.251968443,-1.417322814,-1.28346467,-0.854330719,-0.425196916
0.042,-230.3674164,-0.11811024,-1.062992096,-1.244094491,-1.409448743,-1.279527545,-0.858267784,-0.437007874
0.0422,-230.3674164,-0.114173234,-1.05905509,-1.232283533,-1.397637904,-1.275590658,-0.862204731,-0.452755838
0.0424,-230.3674164,-0.106299214,-1.051181198,-1.220472575,-1.389763833,-1.267716647,-0.862204731,-0.464566826
0.0426,-230.3674164,-0.098425195,-1.047244072,-1.212598443,-1.377952994,-1.26377964,-0.862204731,-0.472440958
0.0428,-230.3674164,-0.090551183,-1.035433173,-1.196850419,-1.366141796,-1.255905449,-0.862204731,-0.484252036
0.043,-226.3955688,-0.082677171,-1.027559042,-1.185039401,-1.354330778,-1.248031497,-0.862204731,-0.492125988
0.0432,-226.3955688,-0.074803211,-1.015748084,-1.173228443,-1.34251982,-1.240157485,-0.858267784,-0.5
0.0434,-222.4238276,-0.070866145,-1.003937126,-1.161417485,-1.330708743,-1.228346587,-0.854330719,-0.507873892
0.0436,-222.4237061,-0.062992126,-0.996063234,-1.145669521,-1.314960898,-1.220472455,-0.850393713,-0.511811018
0.0438,-222.4237061,-0.05511811,-0.988188922,-1.133858263,-1.30314964,-1.208661377,-0.842519641,-0.515748084
0.044,-218.4518585,-0.047244098,-0.98031497,-1.11811018,-1.291338563,-1.196850419,-0.834645689,-0.51968503
0.0442,-222.4237061,-0.039370139,-0.968504012,-1.102362216,-1.275590718,-1.185039461,-0.826771737,-0.523622036
