Time,Force,D1,D2,D3,D4,D5,D6,D7,D8
0.0386,-28.57344666,1.620903517,1.646384408,1.279147011,1.195859203,0.981065299,0.886592732,0.739776671,0.814021278
0.0388,-57.09062683,1.560118336,1.588812419,1.220224663,1.140609666,0.927669361,0.83911365,0.696248448,0.776561511
0.039,-60.5212068,1.499089631,1.53052068,1.159898946,1.086952958,0.876993322,0.79263679,0.65363802,0.73874546
0.0392,-48.7,1.437702403,1.471065006,1.099558734,1.035015533,0.828034467,0.746134584,0.611484877,0.701341442
0.0394,-27.81652021,1.376439192,1.411442355,1.039670475,0.983915993,0.779864499,0.699323902,0.569791213,0.664686643
0.0396,-73.1,1.315681419,1.352862192,0.981011899,0.933354807,0.730954807,0.652775967,0.527881594,0.628552462
0.0398,-78.06004687,1.254568424,1.294776626,0.925208436,0.882293029,0.679913357,0.606550088,0.485742882,0.592860926
0.04,-88.35178676,1.193178852,1.236578617,0.871228354,0.829278383,0.626978383,0.560077914,0.444065085,0.557664675
0.0402,-86.44419695,1.131752169,1.178902227,0.817442907,0.774641325,0.572997597,0.513269578,0.402530598,0.522310375
0.0404,-62.42231986,1.070865905,1.121262917,0.76295993,0.718797364,0.520356942,0.466563445,0.361098067,0.486188928
0.0406,-70.42700644,1.009996544,1.063233626,0.706791213,0.662825483,0.469343468,0.420316227,0.320212302,0.450341242
0.0408,-74.6294669,0.949384359,1.004903456,0.648528237,0.608135384,0.420448799,0.373898946,0.279087288,0.414294435
0.041,-91.78236673,0.889396075,0.947094435,0.589336673,0.554708319,0.37259877,0.327103398,0.237681312,0.378770123
0.0412,-63.1883939,0.829986225,0.889961137,0.53115803,0.501617292,0.323757796,0.280029601,0.195713834,0.343532356
0.0414,-48.7,0.771089631,0.834571178,0.475124253,0.448175923,0.273837083,0.23262478,0.152879789,0.307964675
0.0416,-66.99642648,0.713257176,0.780506737,0.420881722,0.394481722,0.222781429,0.185355888,0.110705214,0.272079496
0.0418,-73.1,0.656188863,0.726493962,0.36800041,0.340493962,0.171691266,0.138602814,0.069805217,0.235816764
0.042,-119.6129467,0.599182132,0.672132103,0.315919566,0.287010193,0.12130703,0.092500703,0.029731869,0.200069303
0.0422,-97.5,0.54278095,0.61765891,0.263630657,0.234922743,0.07165381,0.04776905,-0.009768816,0.164627784
0.0424,-76.14463972,0.486901054,0.56380123,0.211151318,0.184257821,0.02333304,0.004414763,-0.049047452,0.128909139
0.0426,-48.7,0.432091447,0.510561629,0.158422554,0.135015876,-0.02387024,-0.037872291,-0.088592853,0.092934915
0.0428,-67.76518171,0.378291852,0.457895076,0.105951348,0.08723306,-0.070910668,-0.080028957,-0.128288101,0.057068523
0.043,-96.35647335,0.325123023,0.405876157,0.054738664,0.040941828,-0.11820662,-0.122403456,-0.167725308,0.021805975
0.0432,-118.8535756,0.272768992,0.35458136,0.005243552,-0.004469402,-0.165606624,-0.164307327,-0.205807796,-0.013595545
0.0434,-97.5,0.22119877,0.30403638,-0.043018102,-0.049305272,-0.21228348,-0.205714236,-0.243463796,-0.049288576
0.0436,-108.9352665,0.170982015,0.254756942,-0.09054007,-0.094624546,-0.257696485,-0.247284241,-0.281003339,-0.084953486
0.0438,-106.2674091,0.121107034,0.20575551,-0.137334994,-0.140514654,-0.302445838,-0.288687866,-0.317953283,-0.120092263
0.044,-97.5,0.071592209,0.156573462,-0.183857704,-0.186045167,-0.346082601,-0.329413767,-0.35471365,-0.155176098
0.0442,-97.5,0.022757996,0.107856415,-0.230568893,-0.230797364,-0.388725835,-0.369559051,-0.391700176,-0.189833392
0.0444,-97.5,-0.025219156,0.060768541,-0.277356591,-0.274809139,-0.43142478,-0.409071178,-0.428101933,-0.223967311
0.0446,-97.5,-0.072356825,0.015233685,-0.324255243,-0.317377387,-0.474077387,-0.448424429,-0.46407147,-0.258080961
0.0448,-85.3,-0.1187,-0.029,-0.3713,-0.3595,-0.51595,-0.4869,-0.49985,-0.29165
0.045,-89.49531342,-0.164304042,-0.072897715,-0.418411951,-0.40209297,-0.557150674,-0.524233275,-0.535023784,-0.324950264
0.0452,-76.91652021,-0.209646749,-0.116918805,-0.465090334,-0.445143937,-0.597619332,-0.560835501,-0.569517047,-0.358004745
0.0454,-121.9,-0.255002636,-0.160886819,-0.509771002,-0.487564675,-0.637315641,-0.596165026,-0.603346046,-0.390328647
0.0456,-126.4553603,-0.299642355,-0.204111189,-0.551842472,-0.52914874,-0.675398828,-0.630611424,-0.636311482,-0.421874048
0.0458,-137.4685229,-0.344290094,-0.245848066,-0.592273154,-0.569029426,-0.712682649,-0.664884349,-0.668889097,-0.452162661
0.046,-121.9,-0.388625308,-0.286784417,-0.631334271,-0.607302929,-0.748846514,-0.698436965,-0.70115249,-0.482102343
0.0462,-104.7471002,-0.432140246,-0.326901582,-0.670490685,-0.644373814,-0.784300527,-0.731664851,-0.73274007,-0.512166784
0.0464,-97.5,-0.474867819,-0.366754982,-0.7109551,-0.681704689,-0.820254513,-0.764866647,-0.763628839,-0.541853693
0.0466,-97.5,-0.516012185,-0.405932513,-0.752463738,-0.719832513,-0.856415349,-0.797574751,-0.793676333,-0.570734153
0.0468,-92.16518171,-0.556168171,-0.444249531,-0.793777491,-0.758127667,-0.891540563,-0.829315826,-0.822803634,-0.598959906
0.047,-73.1,-0.595433626,-0.482342882,-0.83319918,-0.796142882,-0.925062683,-0.860259344,-0.850504335,-0.626387112
0.0472,-73.1,-0.633821441,-0.519277856,-0.8701529,-0.833021617,-0.956903339,-0.890440949,-0.877803691,-0.653053779
0.0474,-108.9419695,-0.670768464,-0.554466764,-0.904065064,-0.867726084,-0.987008558,-0.919814771,-0.905186518,-0.679498945
0.0476,-77.67410662,-0.706550557,-0.588491154,-0.934519215,-0.89941611,-1.015903574,-0.948241066,-0.932516052,-0.705981664
0.0478,-93.69554513,-0.741353048,-0.622245252,-0.963564596,-0.927415123,-1.044649004,-0.975885287,-0.959869695,-0.732522919
0.048,-60.90714704,-0.775079145,-0.655804101,-0.993078676,-0.952828002,-1.074253837,-1.002553251,-0.986203163,-0.758303163
0.0482,-97.5,-0.807646221,-0.688610193,-1.022697891,-0.976551494,-1.105204042,-1.028310721,-1.011215466,-0.783357645
0.0484,-111.9883939,-0.838341559,-0.721366647,-1.05305721,-1.000053869,-1.135841559,-1.053269519,-1.035353869,-0.807613247
0.0486,-103.2176333,-0.867612068,-0.753526245,-1.082612068,-1.024149385,-1.16426983,-1.077802519,-1.058147745,-0.831060281
0.0488,-97.5,-0.896457996,-0.78483263,-1.109770826,-1.048871119,-1.190046046,-1.102196192,-1.079846632,-0.853134095
0.049,-97.5,-0.925085354,-0.814372994,-1.13415952,-1.074300527,-1.212307557,-1.125736204,-1.100662332,-0.87427188
0.0492,-90.63884007,-0.952567487,-0.842792443,-1.155764675,-1.098342707,-1.231246046,-1.148555185,-1.120580316,-0.895333392
